SampleID	A8812_JewBury1-51926-SortMeRNA-Naive	A8824_JewBury2-71125-SortMeRNA-Naive	A12014_EuroHG1-100k-SortMeRNA-Naive	A12017_EuroHG2-93208-SortMeRNA-Naive	A12826_LBK1-100k-SortMeRNA-Naive	A12829_LBK2-100k-SortMeRNA-Naive	A12873_Chimp-100k-SortMeRNA-Naive	A13204_AfrPP2-100k-SortMeRNA-Naive	A13208_AfrSF2-100k-SortMeRNA-Naive	A13209_AfrSF3-100k-SortMeRNA-Naive	A13210-AfrSF4-100k-SortMeRNA-Naive	A13213_AfrPP1-100k-SortMeRNA-Naive	A13232_IndRev1-100k-SortMeRNA-Naive	A13234_IndRev2-100k-SortMeRNA-Naive	A13344_ET11_EBC-100k-SortMeRNA-Naive	AFR8_EBC-9076-SortMeRNA-Naive	8812Jewbury	8824Jewbury	12014Meso	12017Meso	12826LBK	12829LBK	12873Chimp	13204Sf	13208Sf	13209Sf	13210Sf	13213Sf	IndustrialRevolution1-1.	IndustrialRevolution2	IndustrialRevolution3
uncultured Elusimicrobia bacterium	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Endomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	70	0	80	0	0	0	0	0	214	0
"environmental samples <bacteria,superkingdom Bacteria>"	19	54	8	198	178	76	0	238	67	206	789	218	51	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uncultured bacterium	169	425	368	1013	978	567	0	1513	537	1353	2427	992	864	104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FCB group	0	1	29	1	2	7	1	7	8	7	10	6	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes/Chlorobi group	9	5	13	13	10	55	0	23	13	15	0	14	15	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	131	205	9	53	144	385	438	178	156	242	786	314	222	255	0	0	0	0	0	0	0	0	0	221	0	0	0	0	0	0	0
Bacteroidia	5	4	0	0	13	13	0	3	5	5	1	9	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidales	341	279	55	182	377	476	1905	357	343	856	1458	571	423	334	3	0	445	175	1	5	171	135	42083	66	46	8	5	5	1719	236	1398
Bacteroides	0	0	0	0	0	0	281	0	0	0	0	52	81	0	0	0	41	2	0	0	0	0	0	0	0	0	0	0	10	29	17
Phocaeicola abscessus	0	0	0	0	62	0	979	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0
Porphyromonadaceae	359	387	160	327	458	607	591	601	276	815	745	972	1184	267	20	0	1896	971	0	578	56	1108	3	1103	738	0	4	1	3531	6603	1017
Porphyromonas	353	240	0	0	0	335	93	61	220	1052	85	566	330	128	1	0	264	96	0	0	0	57	0	392	0	1	0	0	84	750	46
Porphyromonas endodontalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	37	5
Prevotellaceae	519	415	93	0	121	425	271	135	72	106	57	399	766	621	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	391	111	0	0	0	47	0	16	0	0	0	0	75	744	263
Prevotella copri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Prevotella intermedia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	23	0	0	0	6	0	0	0	0	0	0	6	37	15
Prevotella melaninogenica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	2	2	1
Prevotella nanceiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Prevotella nigrescens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	9	2
Rikenellaceae	81	0	0	0	0	0	0	134	100	0	140	94	52	52	1	0	0	0	0	0	0	0	0	1	0	0	0	0	57	4	1
Cytophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	689	0	19	0	0	0	0	0	0	0	95	43	13
Flavobacteriales	29	17	10	1	6	66	1	3	0	0	8	16	38	40	0	0	895	1069	1	1	52	3006	0	805	193	0	0	3	37	2610	1255
Flavobacteriaceae	236	596	2	21	67	648	9	108	0	0	73	188	620	784	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Capnocytophaga	985	2431	141	117	184	2331	362	105	0	0	0	434	2310	1646	22	0	1409	1751	1	0	0	712	0	67	164	0	0	0	127	6195	911
Capnocytophaga ochracea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	124	0	0	0	17	0	36	0	0	1	0	29	678	63
Flavobacterium	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	0	0	0	0	0	5	0	0	27	4	0	0	0	0	1	0
Bergeyella	62	0	0	0	0	95	0	0	0	0	0	56	197	202	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	8959	0	0	0
Cloacibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3675	54	655	0	1	16	87	0	1694	1	6	5	3
Wautersiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	2	0	0	0	0	0	0	0	1	0	0	1
Saprospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	75	248	0	0	1	3	0	0
Sphingobacteriales	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Sphingobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	0	1	1	2265	0	0	0
Pedobacter	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	1
Chlorobi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	5
Chlorobiales	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlorobiaceae	0	0	0	0	0	0	0	744	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0
Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	3	8815	3792	0	121	0	2	1	1	0	1	103	274	64
Gemmatimonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0
Gemmatimonadaceae	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriales	35	79	65	32	7	92	1	11	47	81	2	38	39	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriaceae	36	96	0	22	14	59	32	4	0	0	4	43	42	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium	643	1530	0	88	105	469	519	60	0	0	311	514	1185	662	8	0	1125	883	0	1	0	121	0	22	1	1	0	2	515	2681	561
Leptotrichiaceae	41	44	12	0	4	42	0	0	3	0	0	19	39	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
Leptotrichia	1066	1261	147	0	111	1162	0	127	97	0	0	447	1459	1277	41	0	4490	1146	0	0	0	1082	1	239	20	0	1	0	213	13557	3701
Nitrospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	67	0	2367	3888	556	1	0	182	0	0	0	28	12	19
Proteobacteria	332	499	224	321	509	709	1124	376	313	504	666	339	256	695	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alphaproteobacteria	0	0	0	0	72	66	0	69	72	36	177	0	0	55	0	0	0	0	0	0	0	0	0	57	0	0	0	0	192	152	152
Caulobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2439	335	0	0	2	24	0	2	13967	3601	2	1	0
Brevundimonas diminuta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	899	0	0	0	0	1
Hyphomicrobiales	0	0	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	9	0	765	436	1	1	0	6	0	0	0	1	176	91
Aurantimonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Beijerinckiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0
Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	50	7	3	0	0	376	0	0	1	2	0
Devosia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	16	0	0	0	2	0	0	0
Hyphomicrobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	35	3742	2915	234	111	1	0	0	0	0	0	0	10	87
Hyphomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	7	40	0	0	0	0	0	0	0	0	0	0	12
Pedomicrobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18	538	0	881	301	2	0	1	0	1	0	197	158	90
Rhodoplanes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	9	0	2	15	40	0	0	0	0	0	0	16	36	22
Methylobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	2	398	0	0	0	0
Methylobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	44	0	0	0	0	0	0	0	0	0	0
Methylocystaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0
Mesorhizobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	164	6	0	0	80	0	0	0	2	1	0
Rhodovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0
Hyphomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	176	0	0	0	1	0	6
Rhodobacteraceae	0	0	0	0	0	0	0	0	0	55	235	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	1	7864	1	1	0
Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	19	0	0	0	0	0	0	0	0	0
Rhodospirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	26	4736	0	635	83	0	332	17	1	2	1249	179	231	82
Inquilinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0
Erythrobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	4	0	0
Sphingomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1172	0	217	0	8	28	0	44	1	4941	19	5	6
Novosphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	384	3	0	1	142	13	0	1113	1	6516	1	1	3
Sphingobium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	2	0	1	1	0	1	10399	1	1	1
Sphingomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Sphingopyxis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7913	0	2	0	1	0
Sphingopyxis alaskensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Betaproteobacteria	1310	1542	741	336	1085	2461	0	1107	126	232	161	355	1388	2674	7	0	178	32	14579	5042	944	527	1	0	69	2	4	2	140	1217	255
Burkholderiales	692	814	169	89	317	835	0	436	42	0	218	169	767	1277	6	0	0	0	0	0	0	0	0	0	0	0	0	15	0	28	5
Alcaligenaceae	74	82	0	0	0	64	0	57	0	0	0	0	78	112	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0
Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3326	0	0	0	0	55	0	0	0	0	0	0
Burkholderiaceae	277	192	0	0	49	192	0	28	0	0	0	0	267	354	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	183	45
Burkholderia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2
Lautropia	1009	1046	0	0	105	583	0	103	0	0	0	0	1470	1553	11	0	7474	2801	0	0	1	813	0	15	1556	0	2	1	404	45760	13262
Comamonadaceae	1348	2345	3195	1321	1461	2450	0	3999	253	0	893	767	1471	2680	15	55	9725	5535	8292	19627	3357	4060	45630	15180	4765	22895	17380	16285	822	28135	15807
Brachymonas	0	0	201	93	0	0	0	233	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brachymonas denitrificans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	1	0	0	4	1	0	1	0	0	0	0	295	87
Comamonas	286	310	0	0	296	453	0	0	0	0	0	0	339	547	1	393	294	145	87794	61290	2696	284	88297	947	5027	109868	126812	77619	29	223	65
Diaphorobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
Hydrogenophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	2	0	0	0	0	0
Hylemonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4	1	2	3	24	4	0	0	0	2	1	7
Limnohabitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	67	21	5	332	0	136	1	234	3	0	2	0
Ottowia	0	0	0	0	0	60	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Polaromonas	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	18	5924	0	5	0	0	0	0	0	0
Oxalobacteraceae	61	86	0	0	0	55	0	0	0	0	83	0	65	98	0	0	1	0	1	5335	0	1	199	1	2	5	2	19750	0	24	1
Janthinobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	733	0	0	2	0	0	0	0	0	0	0	0
Janthinobacterium lividum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
Neisseriaceae	877	819	0	114	194	1293	0	123	0	0	0	154	1157	1173	4	0	1225	1255	0	0	145	1877	3	58	582	1	2	0	74	6324	2762
Eikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	242	2	0	4	650	0	55	118	0	0	1	128	1114	259
Kingella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Neisseria	1523	933	0	0	195	2063	0	165	0	0	0	0	3480	1300	15	0	5477	570	0	1	0	1951	1	2	225	0	1	1	82	34041	2182
Neisseria cinerea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Neisseria subflava	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	3	128	4
Methylophilaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	7
Methylotenera mobilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rhodocyclaceae	44	0	0	0	0	0	0	65	0	0	0	72	0	0	0	0	3	1	4	160	40	4	3494	57	25	9	6	19	0	20	3
Propionivibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	515	312	0	0	0	59	0	54	4	1	0	0	428	125	114
delta/epsilon subdivisions	4	24	0	9	17	10	0	1	5	15	10	9	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deltaproteobacteria	54	46	53	59	234	144	1	46	194	335	17	122	81	91	0	0	8	3	0	1845	1545	85	0	15	47	0	1	791	1	0	1
Desulfobacterales	2	62	0	1	5	0	0	0	9	34	10	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobulbaceae	16	0	35	55	101	0	61	25	91	2	24	67	56	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfobulbus	129	0	256	127	492	0	150	76	330	54	66	288	205	100	0	0	3237	318	0	2	1195	256	10	2387	6318	6	4	1	11460	707	1451
Desulfovibrionales	36	0	0	74	86	0	0	15	137	408	0	103	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Desulfomicrobiaceae	0	0	0	0	6	0	0	0	25	26	0	1	0	5	0	0	11	0	0	0	0	0	0	0	0	0	0	0	1	29	5
Desulfomicrobium	0	0	0	0	206	0	0	0	271	1103	0	147	0	105	0	0	70	5	0	0	13	149	0	61	0	0	0	0	2	0	129
Desulfovibrionaceae	0	0	0	0	28	0	0	17	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	82	0	0	86	0	0	0	0	0	0	0	0	123	9	0	0	0	0	0	77	141	0	0	1	4	0	9
Myxococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	443	29	0	17	562	48	0	420	238	0	0	0	1	88	56
Cystobacterineae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0
Polyangiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Syntrophobacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	40	142	0	0	74	0	0	564	6	1	22
Epsilonproteobacteria	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacterales	59	63	75	13	135	138	0	57	37	26	253	120	63	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacteraceae	12	2	0	0	24	15	0	9	6	5	13	14	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter	614	546	0	139	737	514	189	320	207	182	1530	743	974	635	7	0	2309	779	1	7	8	327	1	853	733	0	1	1	831	3102	1155
Helicobacteraceae	0	0	0	0	0	0	0	0	66	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1
Gammaproteobacteria	300	946	255	110	190	390	49	229	186	174	178	194	172	441	3	1	0	0	0	156	0	0	0	0	0	2	0	0	0	0	0
Alteromonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0
Alteromonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0
Shewanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	50	0	0	0	0	0	0	0
Cardiobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	0	0	0	0	0	0	0	0	0	0	1	3
Cardiobacteriaceae	38	19	0	0	5	22	0	0	0	0	0	56	14	39	0	0	116	34	0	0	0	0	0	0	0	0	0	0	0	1	4
Cardiobacterium	281	190	0	0	69	103	0	0	0	0	65	0	102	280	0	0	3122	663	1	0	1	317	0	10	272	1	0	0	110	486	559
Ectothiorhodospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1773	0	0	0
Enterobacteriaceae	66	338	262	0	0	64	0	85	0	0	86	0	0	100	1	8	41	15	7011	1678	990	28	14309	256	1475	3237	16654	24114	8	15	4
Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	13	0	0	1	8	12	0	0	0
Trabulsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0
Legionellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
Coxiellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0
Legionellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Moraxellaceae	0	0	0	0	0	0	0	61	0	0	1	0	0	0	0	0	2	0	0	0	28	0	1	0	0	0	12490	2	3	1	1
Acinetobacter	0	0	75	0	0	0	0	0	0	0	1484	0	0	0	0	4624	638	133	196821	111692	4481	683	309633	2205	16558	264632	276858	281378	91	118	77
Acinetobacter calcoaceticus/baumannii complex	0	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	164	12	0	249	5	23	260	313	366	0	0	0
Acinetobacter rhizosphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Moraxella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	10	3
Pasteurellaceae	650	3397	176	318	197	667	0	532	0	0	0	232	199	774	7	0	51	32	0	0	0	11	0	0	0	0	0	0	0	2	4
Actinobacillus porcinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2
Aggregatibacter	585	3596	0	141	70	367	0	261	0	0	0	131	98	579	3	0	1221	4308	1	0	1	621	2	46	1	1	1	3	2	291	1843
Aggregatibacter pneumotropica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	42	0	0	0	2	0	0	0	0	0	0	0	1	16
Aggregatibacter segnis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	179	0	0	0	111	0	90	29	0	0	0	12	512	126
Haemophilus	99	276	0	0	0	117	0	99	0	0	0	53	188	120	0	0	92	3	0	0	0	0	0	0	0	0	0	0	6	633	76
Haemophilus parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	1	0	0	0	0	0	0	219	15
Pseudomonadales	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	28	5	2	0	76	0	0	84	44	28	0	0	0
Perlucidibaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	272	502	102	36	395	6	318	338	18504	211	6	0	0
Pseudomonas	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	110	78	27	30525	9332	475	124	46828	435	2046	52305	43985	32143	10	22	8
